epsilon,n_rho,r,Lz,Ra_crit,kx_crit,kx_crit_cz,kx_crit
1.00E-07,3,0,6.38906,277.44,0.29528,0.29528,0.2903868421
1.00E-06,3,0,6.38906,277.44,0.29528,0.29528,0.2903868421
1.00E-05,3,0,6.38913,277.44,0.29528,0.29528,0.2903836606
1.00E-04,3,0,6.38983,277.45,0.29528,0.29528,0.2903518493
1.00E-03,3,0,6.39681,277.51,0.29529,0.29529,0.2900448488
1.00E-02,3,0,6.46739,278.1,0.29531,0.29531,0.2868989582
1.00E-01,3,0,7.26068,284.34,0.29581,0.29581,0.2559855338
3.00E-01,3,0,9.85149,299.5,0.29616,0.29616,0.1888879916
7.00E-01,3,0,26.1654,337.5,0.29774,0.29774,0.07149730535
1,3,0,137.31,410.87,0.30373,0.30373,0.01389841871
1.00E-07,1,0,0.947734,219.97,0.28705,0.28705,1.903053328
1.00E-06,1,0,0.947735,219.97,0.28705,0.28705,1.90305132
1.00E-05,1,0,0.947741,219.97,0.28705,0.28705,1.903039272
1.00E-04,1,0,0.947801,219.97,0.28705,0.28705,1.902918801
1.00E-03,1,0,0.948405,219.98,0.28705,0.28705,1.90170691
1.00E-02,1,0,0.954483,220.13,0.28706,0.28706,1.889662963
1.00E-01,1,0,1.01984,221.64,0.28716,0.28716,1.769178982
3.00E-01,1,0,1.2029,225.62,0.28739,0.28739,1.50114276
7.00E-01,1,0,1.87625,238.73,0.28822,0.28822,0.9651910296
1,1,0,3.22904,256.45,0.29095,0.29095,0.5661412572
1.00E-07,1,0.3,1.23205,120.22,0.29581,0.2275461538,1.508566248
1.00E-06,1,0.3,1.23206,120.25,0.29488,0.2268307692,1.503811246
1.00E-05,1,0.3,1.23206,120.25,0.29488,0.2268307692,1.503811246
1.00E-04,1,0.3,1.23214,120.25,0.29488,0.2268307692,1.503713607
1.00E-03,1,0.3,1.23293,120.26,0.29488,0.2268307692,1.502750102
1.00E-02,1,0.3,1.24083,120.36,0.2949,0.2268461538,1.493283808
1.00E-01,1,0.3,1.3258,121.41,0.29509,0.2269923077,1.398480278
3.00E-01,1,0.3,1.56377,124.15,0.29601,0.2277,1.189360125
7.00E-01,1,0.3,2.43913,132.9,0.29759,0.2289153846,0.766590184
1,1,0.3,4.19775,145.3,0.2997,0.2305384615,0.4485904679
