r+1,r,epsilon,n_rho,Ra_crit,kx_crit,kx_crit_cz,kx_crit,Lz
1,0,1.00E-04,3,277.59,0.29456,0.29456,0.289643866,6.38983
1.1,0.1,1.00E-04,3,206.22,0.29641,0.326051,0.2914629899,7.028813
1.2,0.2,1.00E-04,3,168.46,0.29767,0.357204,0.2927019608,7.667796
1.25,0.25,1.00E-04,3,158.81,0.29936,0.3742,0.2943637551,7.9872875
1.3,0.3,1.00E-04,3,155.15,0.30234,0.393042,0.2972940197,8.306779
1.35,0.35,1.00E-04,3,158.09,0.30861,0.4166235,0.3034593749,8.6262705
1.4,0.4,1.00E-04,3,168.68,0.32216,0.451024,0.3167832287,8.945762
1.5,0.5,1.00E-04,3,206.62,0.40413,0.606195,0.3973851696,9.584745
1.6,0.6,1.00E-04,3,226.33,0.46447,0.743152,0.4567181098,10.223728
1.7,0.7,1.00E-04,3,226.2,0.52398,0.890766,0.5152349025,10.862711
1.8,0.8,1.00E-04,3,220.03,0.54604,0.982872,0.5369267266,11.501694
1.9,0.9,1.00E-04,3,215.28,0.56435,1.072265,0.5549311372,12.140677
2,1,1.00E-04,3,212.81,0.58256,1.16512,0.5728372167,12.77966
2.5,1.5,1.00E-04,3,213.93,0.72689,1.817225,0.7147583845,15.974575
3,2,1.00E-04,3,213.59,0.87081,2.61243,0.856276395,19.16949
4,3,1.00E-04,3,212.55,1.1572,4.6288,1.137886616,25.55932
5,4,1.00E-04,3,210.49,1.4524,7.262,1.428159801,31.94915
6,5,1.00E-04,3,213.83,1.7288,10.3728,1.699946753,38.33898
7,6,1.00E-04,3,219.5,1.8954,13.2678,1.86376624,44.72881
8,7,1.00E-04,3,213.82,2.3338,18.6704,2.294849451,51.11864
9,8,1.00E-04,3,214.06,2.6104,23.4936,2.566833065,57.50847
1,0,1.00E-04,1,219.88,0.28658,0.28658,1.899803066,0.947801
1.1,0.1,1.00E-04,1,168.11,0.28785,0.316635,1.90822218,1.0425811
1.2,0.2,1.00E-04,1,137.22,0.2893,0.34716,1.917834555,1.1373612
1.25,0.25,1.00E-04,1,126.79,0.29184,0.3648,1.934672785,1.18475125
1.3,0.3,1.00E-04,1,119.83,0.29584,0.384592,1.961189681,1.2321413
1.35,0.35,1.00E-04,1,116.09,0.30385,0.4101975,2.014289767,1.27953135
1.4,0.4,1.00E-04,1,114.9,0.30385,0.42539,2.014289767,1.3269214
1.5,0.5,1.00E-04,1,121.91,0.32877,0.493155,2.179490034,1.4217015
1.6,0.6,1.00E-04,1,142.72,0.39563,0.633008,2.622719962,1.5164816
1.7,0.7,1.00E-04,1,154.22,0.45536,0.774112,3.018683523,1.6112617
1.8,0.8,1.00E-04,1,158.35,0.50014,0.900252,3.315540181,1.7060418
1.9,0.9,1.00E-04,1,157.83,0.53138,1.009622,3.522637145,1.8008219
2,1,1.00E-04,1,154.68,0.55144,1.10288,3.655619382,1.895602
2.5,1.5,1.00E-04,1,149.47,0.66018,1.65045,4.376481219,2.3695025
3,2,1.00E-04,1,149.25,0.79899,2.39697,5.296683828,2.843403
4,3,1.00E-04,1,152.96,1.0348,4.1392,6.859921182,3.791204
5,4,1.00E-04,1,149.67,1.3213,6.6065,8.759193909,4.739005
6,5,1.00E-04,1,150.24,1.5981,9.5886,10.59416316,5.686806
7,6,1.00E-04,1,149.23,1.8519,12.9633,12.27666026,6.634607
8,7,1.00E-04,1,147.69,2.113,16.904,14.00755069,7.582408
9,8,1.00E-04,1,149.59,2.3808,21.4272,15.78285693,8.530209
1,0,1.00E-04,5,305.61,0.30139,0.30139,0.07004117424,27.0368
1.1,0.1,1.00E-04,5,222.01,0.30171,0.331881,0.07011554026,29.74048
1.2,0.2,1.00E-04,5,180.73,0.30177,0.362124,0.07012948389,32.44416
1.25,0.25,1.00E-04,5,172.05,0.30318,0.378975,0.07045715918,33.796
1.3,0.3,1.00E-04,5,171.4,0.3064,0.39832,0.07120546729,35.14784
1.35,0.35,1.00E-04,5,180.44,0.31491,0.4251285,0.07318313873,36.49968
1.4,0.4,1.00E-04,5,201.3,0.33944,0.475216,0.0788837592,37.85152
1.5,0.5,1.00E-04,5,248.19,0.44899,0.673485,0.1043425025,40.5552
1.6,0.6,1.00E-04,5,258.5,0.51702,0.827232,0.1201522542,43.25888
1.7,0.7,1.00E-04,5,252.56,0.54611,0.928387,0.1269125905,45.96256
1.8,0.8,1.00E-04,5,245,0.5637,1.01466,0.1310003979,48.66624
1.9,0.9,1.00E-04,5,241.21,0.58177,1.105363,0.1351997543,51.36992
2,1,1.00E-04,5,240.61,0.60602,1.21204,0.1408353045,54.0736
2.5,1.5,1.00E-04,5,241.04,0.76005,1.900125,0.176630925,67.592
3,2,1.00E-04,5,241.32,0.8994,2.6982,0.2090150042,81.1104
4,3,1.00E-04,5,240.78,1.2325,4.93,0.2864253866,108.1472
5,4,1.00E-04,5,240.86,1.4932,7.466,0.3470104561,135.184
6,5,1.00E-04,5,240.88,1.8117,10.8702,0.4210278887,162.2208
7,6,1.00E-04,5,241.2,2.1312,14.9184,0.4952777151,189.2576
